,M
22601,18656
22602,19463
22603,20045
22604,20407
22605,20543
22606,20457
22607,20174
22608,19671
22609,19008
22610,18158
22611,17169
22612,16054
22613,14826
22614,13526
22615,12159
22616,10764
22617,9354
22618,7955
22619,6587
22620,5268
22621,4019
22622,2848
22623,1771
22624,797
22625,-73
22626,-826
22627,-1474
22628,-2009
22629,-2444
22630,-2783
22631,-3041
22632,-3222
22633,-3349
22634,-3435
22635,-3489
22636,-3539
22637,-3594
22638,-3670
22639,-3789
22640,-3957
22641,-4192
22642,-4502
22643,-4895
22644,-5382
22645,-5953
22646,-6629
22647,-7382
22648,-8229
22649,-9150
22650,-10130
22651,-11171
22652,-12232
22653,-13323
22654,-14399
22655,-15458
22656,-16461
22657,-17401
22658,-18242
22659,-18968
22660,-19563
22661,-19989
22662,-20255
22663,-20314
22664,-20187
22665,-19825
22666,-19263
22667,-18461
22668,-17442
22669,-16201
22670,-14748
22671,-13092
22672,-11254
22673,-9244
22674,-7090
22675,-4816
22676,-2444
22677,-9
22678,2461
22679,4936
22680,7378
22681,9765
22682,12054
22683,14218
22684,16237
22685,18063
22686,19699
22687,21098
22688,22255
22689,23157
22690,23783
22691,24140
22692,24211
22693,24014
22694,23536
22695,22808
22696,21829
22697,20624
22698,19209
22699,17620
22700,15862
22701,13995
22702,12016
22703,9984
22704,7916
22705,5848
22706,3813
22707,1841
22708,-42
22709,-1806
22710,-3426
22711,-4887
22712,-6162
22713,-7247
22714,-8121
22715,-8786
22716,-9233
22717,-9468
22718,-9493
22719,-9317
22720,-8955
22721,-8418
22722,-7730
22723,-6906
22724,-5974
22725,-4952
22726,-3875
22727,-2758
22728,-1638
22729,-531
22730,532
22731,1531
22732,2438
22733,3249
22734,3923
22735,4476
22736,4867
22737,5112
22738,5195
22739,5118
22740,4885
22741,4501
22742,3973
22743,3317
22744,2543
22745,1674
22746,719
22747,-289
22748,-1344
22749,-2410
22750,-3475
22751,-4509
22752,-5502
22753,-6425
22754,-7264
22755,-8005
22756,-8625
22757,-9128
22758,-9493
22759,-9718
22760,-9806
22761,-9749
22762,-9558
22763,-9234
22764,-8793
22765,-8237
22766,-7594
22767,-6868
22768,-6081
22769,-5256
22770,-4405
22771,-3554
22772,-2723
22773,-1926
22774,-1191
22775,-522
22776,53
22777,528
22778,893
22779,1133
22780,1253
22781,1241
22782,1109
22783,846
22784,480
22785,-4
22786,-565
22787,-1212
22788,-1913
22789,-2649
22790,-3409
22791,-4156
22792,-4881
22793,-5549
22794,-6148
22795,-6647
22796,-7033
22797,-7280
22798,-7381
22799,-7310
22800,-7066
22801,-6636
22802,-6016
22803,-5207
22804,-4210
22805,-3034
22806,-1685
22807,-182
22808,1464
22809,3225
22810,5084
22811,7011
22812,8984
22813,10965
22814,12932
22815,14848
22816,16686
22817,18410
22818,20001
22819,21414
22820,22645
22821,23646
22822,24423
22823,24932
22824,25187
22825,25151
22826,24843
22827,24248
22828,23372
22829,22227
22830,20815
22831,19169
22832,17283
22833,15212
22834,12948
22835,10548
22836,8025
22837,5420
22838,2761
22839,91
22840,-2568
22841,-5174
22842,-7695
22843,-10107
22844,-12371
22845,-14468
22846,-16375
22847,-18066
22848,-19535
22849,-20753
22850,-21736
22851,-22450
22852,-22923
22853,-23132
22854,-23111
22855,-22841
22856,-22372
22857,-21679
22858,-20823
22859,-19797
22860,-18635
22861,-17369
22862,-16006
22863,-14595
22864,-13139
22865,-11685
22866,-10237
22867,-8835
22868,-7482
22869,-6210
22870,-5029
22871,-3948
22872,-2986
22873,-2136
22874,-1414
22875,-810
22876,-329
22877,39
22878,306
22879,473
22880,567
22881,587
22882,563
22883,504
22884,432
22885,359
22886,311
22887,293
22888,333
22889,432
22890,613
22891,877
22892,1234
22893,1690
22894,2243
22895,2894
22896,3638
22897,4466
22898,5372
22899,6340
22900,7355
22901,8405
22902,9468
22903,10519
22904,11552
22905,12526
22906,13443
22907,14259
22908,14974
22909,15554
22910,15996
22911,16274
22912,16382
22913,16313
22914,16053
22915,15609
22916,14969
22917,14151
22918,13151
22919,11987
22920,10666
22921,9213
22922,7639
22923,5975
22924,4235
22925,2459
22926,651
22927,-1130
22928,-2886
22929,-4571
22930,-6165
22931,-7643
22932,-8977
22933,-10151
22934,-11138
22935,-11939
22936,-12515
22937,-12885
22938,-13027
22939,-12940
22940,-12642
22941,-12114
22942,-11394
22943,-10475
22944,-9388
22945,-8146
22946,-6776
22947,-5303
22948,-3756
22949,-2164
22950,-552
22951,1041
22952,2591
22953,4064
22954,5438
22955,6679
22956,7771
22957,8680
22958,9407
22959,9911
22960,10213
22961,10268
22962,10111
22963,9709
22964,9096
22965,8252
22966,7219
22967,5988
22968,4597
22969,3059
22970,1399
22971,-349
22972,-2163
22973,-4011
22974,-5856
22975,-7681
22976,-9440
22977,-11117
22978,-12678
22979,-14096
22980,-15353
22981,-16426
22982,-17293
22983,-17957
22984,-18382
22985,-18590
22986,-18554
22987,-18294
22988,-17802
22989,-17101
22990,-16184
22991,-15092
22992,-13813
22993,-12402
22994,-10848
22995,-9205
22996,-7475
22997,-5704
22998,-3902
22999,-2108
23000,-336
23001,1378
23002,3024
23003,4570
23004,6009
23005,7318
23006,8487
23007,9512
23008,10374
23009,11092
23010,11636
23011,12049
23012,12292
23013,12417
23014,12402
23015,12287
23016,12063
23017,11774
23018,11407
23019,11012
23020,10576
23021,10149
23022,9716
23023,9322
23024,8959
23025,8653
23026,8408
23027,8236
23028,8134
23029,8119
23030,8173
23031,8307
23032,8509
23033,8766
23034,9079
23035,9419
23036,9786
23037,10150
23038,10503
23039,10819
23040,11083
23041,11275
23042,11373
23043,11364
23044,11229
23045,10955
23046,10526
23047,9938
23048,9183
23049,8251
23050,7153
23051,5875
23052,4445
23053,2854
23054,1125
23055,-727
23056,-2685
23057,-4725
23058,-6823
23059,-8950
23060,-11087
23061,-13189
23062,-15245
23063,-17208
23064,-19061
23065,-20768
23066,-22310
23067,-23649
23068,-24780
23069,-25665
23070,-26304
23071,-26675
23072,-26765
23073,-26585
23074,-26112
23075,-25374
23076,-24355
23077,-23088
23078,-21566
23079,-19834
23080,-17892
23081,-15778
23082,-13520
23083,-11139
23084,-8686
23085,-6171
23086,-3648
23087,-1137
23088,1321
23089,3693
23090,5959
23091,8070
23092,10030
23093,11779
23094,13336
23095,14653
23096,15737
23097,16576
23098,17160
23099,17496
23100,17589
23101,17440
23102,17068
23103,16488
23104,15713
23105,14774
23106,13684
23107,12478
23108,11177
23109,9813
23110,8409
23111,6999
23112,5607
23113,4261
23114,2979
23115,1796
23116,717
23117,-228
23118,-1036
23119,-1687
23120,-2182
23121,-2511
23122,-2678
23123,-2683
23124,-2538
23125,-2245
23126,-1826
23127,-1288
23128,-652
23129,61
23130,834
23131,1642
23132,2467
23133,3280
23134,4071
23135,4804
23136,5475
23137,6054
23138,6538
23139,6898
23140,7143
23141,7245
23142,7217
23143,7050
23144,6742
23145,6306
23146,5746
23147,5071
23148,4292
23149,3435
23150,2498
23151,1525
23152,509
23153,-510
23154,-1521
23155,-2503
23156,-3432
23157,-4294
23158,-5071
23159,-5743
23160,-6309
23161,-6741
23162,-7050
23163,-7216
23164,-7249
23165,-7138
23166,-6902
23167,-6534
23168,-6058
23169,-5472
23170,-4808
23171,-4066
23172,-3283
23173,-2466
23174,-1643
23175,-832
23176,-64
23177,655
23178,1286
23179,1826
23180,2246
23181,2537
23182,2684
23183,2677
23184,2512
23185,2180
23186,1690
23187,1033
23188,232
23189,-722
23190,-1791
23191,-2983
23192,-4258
23193,-5608
23194,-6999
23195,-8410
23196,-9812
23197,-11177
23198,-12477
23199,-13685
23200,-14774
23201,-15713
23202,-16488
23203,-17068
23204,-17440
23205,-17589
23206,-17495
23207,-17162
23208,-16575
23209,-15736
23210,-14656
23211,-13332
23212,-11784
23213,-10026
23214,-8072
23215,-5958
23216,-3694
23217,-1320
23218,1136
23219,3650
23220,6168
23221,8687
23222,11140
23223,13519
23224,15780
23225,17890
23226,19833
23227,21569
23228,23085
23229,24357
23230,25373
23231,26112
23232,26586
23233,26764
23234,26676
23235,26302
23236,25668
23237,24777
23238,23652
23239,22306
23240,20772
23241,19057
23242,17212
23243,15241
23244,13192
23245,11086
23246,8949
23247,6826
23248,4721
23249,2689
23250,724
23251,-1123
23252,-2854
23253,-4445
23254,-5876
23255,-7152
23256,-8253
23257,-9179
23258,-9942
23259,-10524
23260,-10956
23261,-11229
23262,-11363
23263,-11374
23264,-11275
23265,-11082
23266,-10821
23267,-10500
23268,-10154
23269,-9781
23270,-9424
23271,-9075
23272,-8769
23273,-8508
23274,-8305
23275,-8177
23276,-8114
23277,-8139
23278,-8232
23279,-8410
23280,-8652
23281,-8960
23282,-9320
23283,-9718
23284,-10146
23285,-10580
23286,-11008
23287,-11412
23288,-11768
23289,-12068
23290,-12283
23291,-12405
23292,-12415
23293,-12296
23294,-12043
23295,-11641
23296,-11088
23297,-10377
23298,-9511
23299,-8487
23300,-7318
23301,-6008
23302,-4573
23303,-3021
23304,-1381
23305,340
23306,2104
23307,3905
23308,5700
23309,7480
23310,9201
23311,10852
23312,12397
23313,13818
23314,15088
23315,16187
23316,17100
23317,17800
23318,18298
23319,18551
23320,18590
23321,18385
23322,17952
23323,17298
23324,16424
23325,15351
23326,14100
23327,12674
23328,11119
23329,9440
23330,7679
23331,5859
23332,4008
23333,2164
23334,349
23335,-1400
23336,-3057
23337,-4599
23338,-5987
23339,-7220
23340,-8252
23341,-9094
23342,-9711
23343,-10109
23344,-10271
23345,-10210
23346,-9913
23347,-9405
23348,-8683
23349,-7767
23350,-6683
23351,-5434
23352,-4068
23353,-2589
23354,-1041
23355,552
23356,2164
23357,3755
23358,5303
23359,6778
23360,8145
23361,9388
23362,10475
23363,11392
23364,12119
23365,12637
23366,12944
23367,13025
23368,12885
23369,12517
23370,11936
23371,11140
23372,10150
23373,8979
23374,7639
23375,6169
23376,4568
23377,2886
23378,1135
23379,-659
23380,-2452
23381,-4240
23382,-5971
23383,-7642
23384,-9211
23385,-10667
23386,-11987
23387,-13150
23388,-14152
23389,-14970
23390,-15607
23391,-16054
23392,-16313
23393,-16381
23394,-16277
23395,-15992
23396,-15558
23397,-14970
23398,-14263
23399,-13438
23400,-12532
23401,-11546
23402,-10524
23403,-9465
23404,-8405
23405,-7356
23406,-6339
23407,-5372
23408,-4468
23409,-3635
23410,-2896
23411,-2243
23412,-1688
23413,-1237
23414,-874
23415,-615
23416,-431
23417,-334
23418,-292
23419,-312
23420,-358
23421,-432
23422,-505
23423,-563
23424,-587
23425,-567
23426,-472
23427,-308
23428,-37
23429,326
23430,813
23431,1412
23432,2138
23433,2983
23434,3952
23435,5024
23436,6215
23437,7480
23438,8834
23439,10240
23440,11681
23441,13143
23442,14591
23443,16010
23444,17365
23445,18638
23446,19796
23447,20821
23448,21683
23449,22368
23450,22843
23451,23110
23452,23134
23453,22921
23454,22452
23455,21733
23456,20756
23457,19534
23458,18066
23459,16375
23460,14468
23461,12371
23462,10107
23463,7695
23464,5174
23465,2567
23466,-89
23467,-2763
23468,-5419
23469,-8026
23470,-10546
23471,-12952
23472,-15206
23473,-17289
23474,-19165
23475,-20817
23476,-22226
23477,-23372
23478,-24249
23479,-24840
23480,-25156
23481,-25182
23482,-24936
23483,-24419
23484,-23650
23485,-22641
23486,-21419
23487,-19996
23488,-18414
23489,-16683
23490,-14850
23491,-12931
23492,-10966
23493,-8983
23494,-7011
23495,-5085
23496,-3225
23497,-1463
23498,182
23499,1685
23500,3033
23501,4210
23502,5207
23503,6018
23504,6634
23505,7067
23506,7310
23507,7379
23508,7282
23509,7032
23510,6648
23511,6147
23512,5551
23513,4878
23514,4159
23515,3406
23516,2651
23517,1913
23518,1211
23519,567
23520,1
23521,-478
23522,-847
23523,-1108
23524,-1242
23525,-1251
23526,-1137
23527,-889
23528,-529
23529,-54
23530,525
23531,1186
23532,1931
23533,2720
23534,3555
23535,4406
23536,5253
23537,6085
23538,6865
23539,7595
23540,8237
23541,8793
23542,9235
23543,9555
23544,9754
23545,9801
23546,9722
23547,9491
23548,9127
23549,8629
23550,8001
23551,7267
23552,6423
23553,5502
23554,4511
23555,3474
23556,2410
23557,1343
23558,291
23559,-721
23560,-1671
23561,-2546
23562,-3315
23563,-3976
23564,-4498
23565,-4887
23566,-5116
23567,-5197
23568,-5110
23569,-4871
23570,-4470
23571,-3929
23572,-3245
23573,-2440
23574,-1531
23575,-530
23576,529
23577,1639
23578,2757
23579,3875
23580,4952
23581,5975
23582,6905
23583,7730
23584,8419
23585,8953
23586,9319
23587,9491
23588,9469
23589,9234
23590,8783
23591,8125
23592,7242
23593,6167
23594,4883
23595,3429
23596,1804
23597,43
23598,-1842
23599,-3812
23600,-5848
23601,-7917
23602,-9981
23603,-12021
23604,-13990
23605,-15866
23606,-17618
23607,-19208
23608,-20626
23609,-21828
23610,-22808
23611,-23538
23612,-24011
23613,-24212
23614,-24140
23615,-23783
23616,-23158
23617,-22253
23618,-21101
23619,-19693
23620,-18070
23621,-16232
23622,-14221
23623,-12053
23624,-9763
23625,-7382
23626,-4932
23627,-2465
23628,13
23629,2442
23630,4816
23631,7091
23632,9242
23633,11256
23634,13090
23635,14751
23636,16196
23637,17446
23638,18460
23639,19260
23640,19832
23641,20178
23642,20322
23643,20248
23644,19995
23645,19559
23646,18970
23647,18242
23648,17399
23649,16464
23650,15455
23651,14401
23652,13321
23653,12235
23654,11168
23655,10132
23656,9149
23657,8228
23658,7386
23659,6623
23660,5959
23661,5377
23662,4899
23663,4498
23664,4196
23665,3953
23666,3792
23667,3668
23668,3595
23669,3539
23670,3489
23671,3435
23672,3348
23673,3224
23674,3040
23675,2783
23676,2444
23677,2010
23678,1472
23679,828
23680,71
23681,-797
23682,-1768
23683,-2852
23684,-4016
23685,-5270
23686,-6588
23687,-7952
23688,-9358
23689,-10759
23690,-12163
23691,-13524
23692,-14828
23693,-16052
23694,-17169
23695,-18161
23696,-19002
23697,-19678
23698,-20169
23699,-20460
23700,-20543
23701,-20406
23702,-20044
23703,-19466
23704,-18653
23705,-17638
23706,-16407
23707,-14989
23708,-13393
23709,-11645
23710,-9760
23711,-7774
23712,-5699
23713,-3583
23714,-1438
23715,691
23716,2783
23717,4804
23718,6722
23719,8514
23720,10152
23721,11614
23722,12874
23723,13926
23724,14742
23725,15325
23726,15662
23727,15753
23728,15601
23729,15211
23730,14594
23731,13767
23732,12743
23733,11545
23734,10200
23735,8728
23736,7163
23737,5532
23738,3862
23739,2197
23740,546
23741,-1035
23742,-2544
23743,-3930
23744,-5183
23745,-6280
23746,-7189
23747,-7918
23748,-8428
23749,-8732
23750,-8815
23751,-8680
23752,-8329
23753,-7774
23754,-7018
23755,-6089
23756,-4989
23757,-3752
23758,-2396
23759,-944
23760,570
23761,2129
23762,3690
23763,5243
23764,6741
23765,8177
23766,9508
23767,10723
23768,11795
23769,12713
23770,13449
23771,14013
23772,14366
23773,14542
23774,14496
23775,14277
23776,13848
23777,13252
23778,12477
23779,11556
23780,10494
23781,9316
23782,8046
23783,6697
23784,5308
23785,3882
23786,2461
23787,1054
23788,-306
23789,-1609
23790,-2832
23791,-3959
23792,-4975
23793,-5878
23794,-6642
23795,-7291
23796,-7788
23797,-8166
23798,-8408
23799,-8533
23800,-8541
23801,-8456
23802,-8276
23803,-8034
23804,-7735
23805,-7395
23806,-7048
23807,-6689
23808,-6359
23809,-6054
23810,-5805
23811,-5617
23812,-5509
23813,-5480
23814,-5549
23815,-5711
23816,-5972
23817,-6331
23818,-6777
23819,-7311
23820,-7917
23821,-8581
23822,-9294
23823,-10032
23824,-10777
23825,-11511
23826,-12209
23827,-12852
23828,-13415
23829,-13877
23830,-14220
23831,-14417
23832,-14462
23833,-14327
23834,-14007
23835,-13494
23836,-12769
23837,-11849
23838,-10714
23839,-9382
23840,-7853
23841,-6145
23842,-4268
23843,-2244
23844,-93
23845,2160
23846,4488
23847,6863
23848,9249
23849,11625
23850,13944
23851,16191
23852,18318
23853,20307
23854,22120
23855,23736
23856,25127
23857,26275
23858,27160
23859,27770
23860,28089
23861,28121
23862,27852
23863,27301
23864,26456
23865,25343
23866,23970
23867,22358
23868,20529
23869,18508
23870,16326
23871,14006
23872,11593
23873,9103
23874,6588
23875,4063
23876,1578
23877,-847
23878,-3174
23879,-5379
23880,-7433
23881,-9316
23882,-11006
23883,-12491
23884,-13751
23885,-14788
23886,-15583
23887,-16156
23888,-16485
23889,-16606
23890,-16501
23891,-16210
23892,-15727
23893,-15091
23894,-14310
23895,-13412
23896,-12428
23897,-11367
23898,-10278
23899,-9156
23900,-8061
23901,-6978
23902,-5964
23903,-5010
23904,-4151
23905,-3394
23906,-2748
23907,-2228
23908,-1835
23909,-1568
23910,-1432
23911,-1417
23912,-1515
23913,-1724
23914,-2019
23915,-2393
23916,-2831
23917,-3307
23918,-3811
23919,-4314
23920,-4807
23921,-5261
23922,-5665
23923,-6002
23924,-6246
23925,-6401
23926,-6439
23927,-6362
23928,-6163
23929,-5835
23930,-5381
23931,-4806
23932,-4110
23933,-3307
23934,-2411
23935,-1428
23936,-379
23937,714
23938,1844
23939,2972
23940,4097
23941,5181
23942,6217
23943,7166
23944,8036
23945,8780
23946,9406
23947,9888
23948,10215
23949,10391
23950,10395
23951,10242
23952,9918
23953,9445
23954,8811
23955,8054
23956,7161
23957,6169
23958,5090
23959,3941
23960,2759
23961,1551
23962,355
23963,-806
23964,-1916
23965,-2935
23966,-3859
23967,-4646
23968,-5300
23969,-5780
23970,-6095
23971,-6219
23972,-6152
23973,-5893
23974,-5433
23975,-4788
23976,-3960
23977,-2958
23978,-1808
23979,-511
23980,887
23981,2390
23982,3944
23983,5543
23984,7150
23985,8723
23986,10259
23987,11697
23988,13033
23989,14226
23990,15253
23991,16097
23992,16726
23993,17139
23994,17304
23995,17230
23996,16895
23997,16310
23998,15470
23999,14386
24000,13070
24001,11531
24002,9795
24003,7877
24004,5809
24005,3610
24006,1323
24007,-1041
24008,-3425
24009,-5819
24010,-8174
24011,-10466
24012,-12662
24013,-14731
24014,-16646
24015,-18384
24016,-19921
24017,-21239
24018,-22320
24019,-23162
24020,-23744
24021,-24074
24022,-24147
24023,-23964
24024,-23548
24025,-22889
24026,-22023
24027,-20952
24028,-19707
24029,-18307
24030,-16775
24031,-15140
24032,-13427
24033,-11662
24034,-9874
24035,-8082
24036,-6326
24037,-4604
24038,-2968
24039,-1405
24040,43
24041,1378
24042,2589
24043,3657
24044,4599
24045,5389
24046,6054
24047,6585
24048,6990
24049,7289
24050,7483
24051,7596
24052,7638
24053,7626
24054,7582
24055,7514
24056,7454
24057,7401
24058,7378
24059,7404
24060,7476
24061,7622
24062,7830
24063,8120
24064,8479
24065,8922
24066,9428
24067,10004
24068,10633
24069,11303
24070,12005
24071,12715
24072,13424
24073,14107
24074,14745
24075,15323
24076,15812
24077,16203
24078,16467
24079,16598
24080,16570
24081,16380
24082,16010
24083,15455
24084,14715
24085,13777
24086,12662
24087,11354
24088,9881
24089,8245
24090,6462
24091,4561
24092,2546
24093,460
24094,-1687
24095,-3852
24096,-6024
24097,-8155
24098,-10231
24099,-12211
24100,-14074
24101,-15790
24102,-17337
24103,-18687
24104,-19825
24105,-20728
24106,-21394
24107,-21800
24108,-21952
24109,-21837
24110,-21470
24111,-20848
24112,-19985
24113,-18895
24114,-17599
24115,-16109
24116,-14469
24117,-12676
24118,-10792
24119,-8820
24120,-6808
24121,-4784
24122,-2773
24123,-820
24124,1058
24125,2825
24126,4454
24127,5929
24128,7217
24129,8313
24130,9194
24131,9854
24132,10287
24133,10490
24134,10464
24135,10222
24136,9764
24137,9111
24138,8277
24139,7283
24140,6151
24141,4911
24142,3577
24143,2197
24144,775
24145,-637
24146,-2026
24147,-3357
24148,-4608
24149,-5752
24150,-6769
24151,-7635
24152,-8341
24153,-8870
24154,-9210
24155,-9361
24156,-9314
24157,-9077
24158,-8649
24159,-8043
24160,-7269
24161,-6339
24162,-5280
24163,-4094
24164,-2828
24165,-1475
24166,-90
24167,1333
24168,2738
24169,4132
24170,5463
24171,6731
24172,7905
24173,8967
24174,9909
24175,10706
24176,11361
24177,11855
24178,12197
24179,12373
24180,12400
24181,12270
24182,12000
24183,11601
24184,11081
24185,10465
24186,9758
24187,8991
24188,8174
24189,7333
24190,6484
24191,5647
24192,4841
24193,4083
24194,3390
24195,2771
24196,2242
24197,1805
24198,1476
24199,1243
24200,1123
24201,1096
24202,1168
24203,1331
24204,1557
24205,1856
24206,2194
24207,2562
24208,2940
24209,3309
24210,3644
24211,3938
24212,4152
24213,4288
24214,4311
24215,4223
24216,3992
24217,3626
24218,3105
24219,2424
24220,1594
24221,600
24222,-539
24223,-1819
24224,-3235
24225,-4753
24226,-6380
24227,-8066
24228,-9817
24229,-11581
24230,-13351
24231,-15087
24232,-16764
24233,-18353
24234,-19827
24235,-21151
24236,-22317
24237,-23271
24238,-24028
24239,-24537
24240,-24797
24241,-24804
24242,-24526
24243,-23988
24244,-23166
24245,-22074
24246,-20727
24247,-19121
24248,-17290
24249,-15242
24250,-13007
24251,-10605
24252,-8077
24253,-5438
24254,-2741
24255,3
24256,2734
24257,5445
24258,8071
24259,10610
24260,13004
24261,15242
24262,17290
24263,19122
24264,20726
24265,22075
24266,23166
24267,23985
24268,24532
24269,24797
24270,24803
24271,24534
24272,24028
24273,23273
24274,22314
24275,21153
24276,19826
24277,18354
24278,16763
24279,15087
24280,13351
24281,11582
24282,9815
24283,8068
24284,6378
24285,4755
24286,3234
24287,1818
24288,542
24289,-604
24290,-1589
24291,-2429
24292,-3103
24293,-3625
24294,-3994
24295,-4220
24296,-4314
24297,-4285
24298,-4157
24299,-3931
24300,-3651
24301,-3303
24302,-2944
24303,-2560
24304,-2196
24305,-1853
24306,-1562
24307,-1325
24308,-1172
24309,-1095
24310,-1122
24311,-1246
24312,-1472
24313,-1808
24314,-2241
24315,-2771
24316,-3389
24317,-4084
24318,-4841
24319,-5648
24320,-6482
24321,-7334
24322,-8174
24323,-8990
24324,-9762
24325,-10460
24326,-11085
24327,-11598
24328,-12002
24329,-12271
24330,-12397
24331,-12376
24332,-12194
24333,-11858
24334,-11358
24335,-10710
24336,-9903
24337,-8973
24338,-7900
24339,-6733
24340,-5466
24341,-4126
24342,-2745
24343,-1325
24344,83
24345,1480
24346,2823
24347,4099
24348,5275
24349,6343
24350,7267
24351,8043
24352,8650
24353,9076
24354,9315
24355,9360
24356,9211
24357,8868
24358,8343
24359,7635
24360,6768
24361,5753
24362,4606
24363,3359
24364,2024
24365,640
24366,-780
24367,-2191
24368,-3583
24369,-4906
24370,-6153
24371,-7285
24372,-8273
24373,-9115
24374,-9761
24375,-10222
24376,-10467
24377,-10486
24378,-10292
24379,-9848
24380,-9200
24381,-8308
24382,-7221
24383,-5926
24384,-4455
24385,-2826
24386,-1056
24387,817
24388,2777
24389,4781
24390,6809
24391,8821
24392,10789
24393,12681
24394,14464
24395,16112
24396,17598
24397,18895
24398,19986
24399,20846
24400,21471
24401,21838
24402,21951
24403,21801
24404,21391
24405,20732
24406,19822
24407,18691
24408,17331
24409,15795
24410,14070
24411,12215
24412,10227
24413,8159
24414,6019
24415,3858
24416,1681
24417,-455
24418,-2551
24419,-4556
24420,-6465
24421,-8244
24422,-9882
24423,-11353
24424,-12662
24425,-13778
24426,-14714
24427,-15457
24428,-16007
24429,-16382
24430,-16569
24431,-16600
24432,-16464
24433,-16206
24434,-15809
24435,-15325
24436,-14745
24437,-14106
24438,-13424
24439,-12716
24440,-12004
24441,-11304
24442,-10633
24443,-10001
24444,-9433
24445,-8917
24446,-8484
24447,-8117
24448,-7831
24449,-7621
24450,-7478
24451,-7402
24452,-7380
24453,-7401
24454,-7450
24455,-7519
24456,-7578
24457,-7630
24458,-7635
24459,-7597
24460,-7483
24461,-7289
24462,-6990
24463,-6585
24464,-6053
24465,-5392
24466,-4595
24467,-3662
24468,-2584
24469,-1382
24470,-41
24471,1406
24472,2964
24473,4608
24474,6323
24475,8083
24476,9875
24477,11660
24478,13428
24479,15141
24480,16773
24481,18308
24482,19707
24483,20952
24484,22023
24485,22889
24486,23547
24487,23965
24488,24148
24489,24072
24490,23746
24491,23159
24492,22323
24493,21238
24494,19921
24495,18383
24496,16648
24497,14730
24498,12661
24499,10469
24500,8171
24501,5820
24502,3426
24503,1039
24504,-1320
24505,-3612
24506,-5808
24507,-7879
24508,-9793
24509,-11531
24510,-13070
24511,-14387
24512,-15468
24513,-16313
24514,-16892
24515,-17231
24516,-17306
24517,-17135
24518,-16730
24519,-16094
24520,-15255
24521,-14226
24522,-13031
24523,-11701
24524,-10254
24525,-8727
24526,-7148
24527,-5542
24528,-3948
24529,-2386
24530,-890
24531,515
24532,1803
24533,2962
24534,3956
24535,4791
24536,5432
24537,5893
24538,6151
24539,6221
24540,6092
24541,5784
24542,5296
24543,4649
24544,3858
24545,2934
24546,1917
24547,806
24548,-355
24549,-1552
24550,-2758
24551,-3942
24552,-5090
24553,-6166
24554,-7167
24555,-8047
24556,-8816
24557,-9443
24558,-9918
24559,-10243
24560,-10394
24561,-10391
24562,-10215
24563,-9890
24564,-9402
24565,-8786
24566,-8030
24567,-7171
24568,-6214
24569,-5183
24570,-4095
24571,-2975
24572,-1841
24573,-715
24574,378
24575,1430
24576,2409
24577,3308
24578,4112
24579,4803
24580,5383
24581,5834
24582,6163
24583,6363
24584,6438
24585,6401
24586,6248
24587,5999
24588,5666
24589,5263
24590,4803
24591,4319
24592,3807
24593,3309
24594,2830
24595,2394
24596,2018
24597,1725
24598,1514
24599,1418
24600,1431
24601,1568
24602,1836
24603,2227
24604,2749
24605,3394
24606,4149
24607,5013
24608,5960
24609,6984
24610,8055
24611,9161
24612,10274
24613,11369
24614,12427
24615,13414
24616,14309
24617,15091
24618,15728
24619,16207
24620,16505
24621,16601
24622,16490
24623,16152
24624,15587
24625,14784
24626,13754
24627,12488
24628,11008
24629,9316
24630,7432
24631,5381
24632,3173
24633,846
24634,-1576
24635,-4067
24636,-6583
24637,-9107
24638,-11590
24639,-14008
24640,-16326
24641,-18507
24642,-20530
24643,-22357
24644,-23970
24645,-25344
24646,-26456
24647,-27299
24648,-27854
24649,-28119
24650,-28092
24651,-27766
24652,-27164
24653,-26272
24654,-25129
24655,-23735
24656,-22120
24657,-20307
24658,-18318
24659,-16192
24660,-13943
24661,-11625
24662,-9250
24663,-6861
24664,-4490
24665,-2159
24666,93
24667,2242
24668,4271
24669,6143
24670,7853
24671,9384
24672,10710
24673,11852
24674,12769
24675,13492
24676,14010
24677,14324
24678,14464
24679,14415
24680,14223
24681,13874
24682,13417
24683,12851
24684,12208
24685,11514
24686,10774
24687,10035
24688,9290
24689,8585
24690,7914
24691,7312
24692,6779
24693,6327
24694,5976
24695,5709
24696,5549
24697,5481
24698,5507
24699,5619
24700,5805
24701,6054
24702,6358
24703,6690
24704,7046
24705,7398
24706,7734
24707,8033
24708,8277
24709,8456
24710,8540
24711,8534
24712,8408
24713,8163
24714,7794
24715,7285
24716,6646
24717,5877
24718,4974
24719,3960
24720,2831
24721,1609
24722,308
24723,-1056
24724,-2460
24725,-3883
24726,-5308
24727,-6696
24728,-8047
24729,-9316
24730,-10493
24731,-11557
24732,-12476
24733,-13253
24734,-13849
24735,-14273
24736,-14503
24737,-14534
24738,-14374
24739,-14005
24740,-13455
24741,-12710
24742,-11797
24743,-10721
24744,-9510
24745,-8173
24746,-6746
24747,-5238
24748,-3695
24749,-2125
24750,-572
24751,943
24752,2400
24753,3746
24754,4996
24755,6082
24756,7023
24757,7771
24758,8331
24759,8679
24760,8816
24761,8730
24762,8432
24763,7913
24764,7194
24765,6276
24766,5186
24767,3929
24768,2544
24769,1035
24770,-547
24771,-2194
24772,-3866
24773,-5528
24774,-7166
24775,-8727
