,M
588,-3673
589,-3785
590,-3960
591,-4190
592,-4504
593,-4894
594,-5381
595,-5956
596,-6625
597,-7385
598,-8228
599,-9150
600,-10131
601,-11169
602,-12233
603,-13322
604,-14401
605,-15456
606,-16462
607,-17401
608,-18241
609,-18970
610,-19560
611,-19993
612,-20251
613,-20319
614,-20181
615,-19830
616,-19260
617,-18461
618,-17444
619,-16198
620,-14751
621,-13090
622,-11254
623,-9245
624,-7089
625,-4817
626,-2443
627,-9
628,2460
629,4936
630,7380
631,9763
632,12054
633,14220
634,16233
635,18069
636,19694
637,21099
638,22256
639,23156
640,23783
641,24141
642,24210
643,24014
644,23537
645,22806
646,21832
647,20620
648,19214
649,17614
650,15868
651,13991
652,12018
653,9983
654,7916
655,5849
656,3812
657,1842
658,-44
659,-1803
660,-3430
661,-4882
662,-6167
663,-7242
664,-8126
665,-8782
666,-9236
667,-9466
668,-9492
669,-9320
670,-8952
671,-8421
672,-7728
673,-6906
674,-5974
675,-4953
676,-3874
677,-2759
678,-1637
679,-531
680,531
681,1533
682,2436
683,3250
684,3923
685,4476
686,4866
687,5114
688,5194
689,5118
690,4886
691,4500
692,3972
693,3320
694,2541
695,1675
696,720
697,-293
698,-1341
699,-2411
700,-3473
701,-4512
702,-5499
703,-6430
704,-7258
705,-8009
706,-8623
707,-9129
708,-9493
709,-9717
710,-9808
711,-9747
712,-9559
713,-9235
714,-8790
715,-8240
716,-7594
717,-6865
718,-6086
719,-5251
720,-4408
721,-3552
722,-2725
723,-1925
724,-1192
725,-521
726,52
727,530
728,891
729,1134
730,1251
731,1244
732,1106
733,850
734,475
735,0
736,-567
737,-1211
738,-1913
739,-2650
740,-3409
741,-4155
742,-4882
743,-5548
744,-6149
745,-6646
746,-7034
747,-7280
748,-7381
749,-7310
750,-7065
751,-6636
752,-6017
753,-5207
754,-4210
755,-3033
756,-1685
757,-183
758,1465
759,3223
760,5087
761,7009
762,8984
763,10966
764,12930
765,14850
766,16685
767,18411
768,20000
769,21415
770,22643
771,23649
772,24421
773,24934
774,25185
775,25152
776,24843
777,24248
778,23372
779,22226
780,20817
781,19166
782,17288
783,15206
784,12953
785,10544
786,8028
787,5417
788,2765
789,88
790,-2567
791,-5174
792,-7697
793,-10103
794,-12375
795,-14465
796,-16377
797,-18065
798,-19534
799,-20757
800,-21731
801,-22454
802,-22919
803,-23136
804,-23107
805,-22847
806,-22363
807,-21688
808,-20817
809,-19799
810,-18636
811,-17367
812,-16007
813,-14595
814,-13139
815,-11684
816,-10240
817,-8830
818,-7487
819,-6207
820,-5031
821,-3947
822,-2986
823,-2135
824,-1416
825,-808
826,-332
827,44
828,301
829,478
830,563
831,589
832,562
833,506
834,429
835,363
836,307
837,296
838,331
839,433
840,612
841,878
842,1234
843,1690
844,2242
845,2895
846,3637
847,4466
848,5374
849,6336
850,7360
851,8401
852,9469
853,10520
854,11550
855,12528
856,13441
857,14260
858,14975
859,15552
860,15998
861,16271
862,16385
863,16312
864,16053
865,15609
866,14969
867,14152
868,13150
869,11987
870,10666
871,9214
872,7638
873,5975
874,4237
875,2454
876,658
877,-1136
878,-2883
879,-4572
880,-6165
881,-7643
882,-8976
883,-10152
884,-11138
885,-11939
886,-12513
887,-12890
888,-13020
889,-12948
890,-12634
891,-12120
892,-11392
893,-10475
894,-9388
895,-8146
896,-6776
897,-5303
898,-3757
899,-2161
900,-556
901,1044
902,2588
903,4068
904,5434
905,6683
906,7767
907,8683
908,9404
909,9915
910,10208
911,10273
912,10107
913,9712
914,9093
915,8254
916,7218
917,5989
918,4597
919,3057
920,1402
921,-352
922,-2161
923,-4010
924,-5858
925,-7679
926,-9442
927,-11116
928,-12678
929,-14096
930,-15353
931,-16425
932,-17296
933,-17953
934,-18387
935,-18585
936,-18557
937,-18294
938,-17801
939,-17101
940,-16186
941,-15088
942,-13819
943,-12396
944,-10852
945,-9202
946,-7478
947,-5702
948,-3903
949,-2108
950,-334
951,1376
952,3024
953,4572
954,6007
955,7319
956,8487
957,9510
958,10378
959,11087
960,11642
961,12042
962,12297
963,12414
964,12404
965,12285
966,12067
967,11769
968,11412
969,11006
970,10583
971,10143
972,9720
973,9321
974,8957
975,8656
976,8406
977,8235
978,8137
979,8115
980,8176
981,8306
982,8507
983,8770
984,9076
985,9421
986,9784
987,10151
988,10503
989,10819
990,11085
991,11271
992,11377
993,11361
994,11231
995,10952
996,10529
997,9937
998,9183
999,8253
1000,7147
1001,5882
1002,4440
1003,2857
1004,1123
1005,-726
1006,-2686
1007,-4724
1008,-6824
1009,-8950
1010,-11087
1011,-13189
1012,-15245
1013,-17208
1014,-19060
1015,-20771
1016,-22306
1017,-23653
1018,-24776
1019,-25669
1020,-26302
1021,-26675
1022,-26766
1023,-26583
1024,-26115
1025,-25371
1026,-24359
1027,-23083
1028,-21571
1029,-19830
1030,-17893
1031,-15779
1032,-13518
1033,-11143
1034,-8682
1035,-6173
1036,-3647
1037,-1137
1038,1320
1039,3695
1040,5956
1041,8074
1042,10025
1043,11785
1044,13331
1045,14656
1046,15735
1047,16577
1048,17160
1049,17497
1050,17588
1051,17439
1052,17070
1053,16486
1054,15715
1055,14774
1056,13683
1057,12479
1058,11175
1059,9814
1060,8409
1061,6999
1062,5608
1063,4258
1064,2982
1065,1793
1066,720
1067,-231
1068,-1033
1069,-1690
1070,-2180
1071,-2512
1072,-2677
1073,-2684
1074,-2537
1075,-2247
1076,-1824
1077,-1289
1078,-651
1079,60
1080,834
1081,1643
1082,2466
1083,3280
1084,4072
1085,4802
1086,5478
1087,6052
1088,6539
1089,6897
1090,7144
1091,7244
1092,7218
1093,7050
1094,6741
1095,6309
1096,5742
1097,5073
1098,4292
1099,3434
1100,2501
1101,1522
1102,509
1103,-508
1104,-1524
1105,-2500
1106,-3434
1107,-4293
1108,-5071
1109,-5744
1110,-6308
1111,-6741
1112,-7052
1113,-7214
1114,-7248
1115,-7141
1116,-6898
1117,-6539
1118,-6053
1119,-5476
1120,-4805
1121,-4068
1122,-3283
1123,-2463
1124,-1647
1125,-831
1126,-62
1127,652
1128,1290
1129,1821
1130,2250
1131,2535
1132,2684
1133,2678
1134,2510
1135,2183
1136,1687
1137,1036
1138,227
1139,-716
1140,-1796
1141,-2979
1142,-4261
1143,-5607
1144,-6999
1145,-8409
1146,-9812
1147,-11179
1148,-12475
1149,-13687
1150,-14771
1151,-15716
1152,-16485
1153,-17070
1154,-17440
1155,-17589
1156,-17495
1157,-17161
1158,-16575
1159,-15737
1160,-14656
1161,-13331
1162,-11784
1163,-10026
1164,-8073
1165,-5957
1166,-3695
1167,-1319
1168,1136
1169,3649
1170,6170
1171,8684
1172,11142
1173,13519
1174,15779
1175,17892
1176,19831
1177,21570
1178,23084
1179,24360
1180,25367
1181,26121
1182,26576
1183,26773
1184,26669
1185,26306
1186,25666
1187,24779
1188,23649
1189,22311
1190,20765
1191,19065
1192,17205
1193,15246
1194,13189
1195,11088
1196,8948
1197,6826
1198,4722
1199,2687
1200,727
1201,-1125
1202,-2854
1203,-4445
1204,-5875
1205,-7154
1206,-8249
1207,-9184
1208,-9938
1209,-10527
1210,-10954
1211,-11230
1212,-11362
1213,-11375
1214,-11274
1215,-11083
1216,-10821
1217,-10500
1218,-10153
1219,-9783
1220,-9421
1221,-9079
1222,-8766
1223,-8508
1224,-8309
1225,-8170
1226,-8122
1227,-8132
1228,-8237
1229,-8407
1230,-8653
1231,-8960
1232,-9320
1233,-9720
1234,-10143
1235,-10582
1236,-11007
1237,-11412
1238,-11770
1239,-12066
1240,-12284
1241,-12405
1242,-12413
1243,-12298
1244,-12043
1245,-11640
1246,-11089
1247,-10376
1248,-9511
1249,-8488
1250,-7317
1251,-6009
1252,-4571
1253,-3023
1254,-1379
1255,338
1256,2105
1257,3906
1258,5699
1259,7480
1260,9200
1261,10855
1262,12393
1263,13822
1264,15085
1265,16188
1266,17100
1267,17800
1268,18297
1269,18553
1270,18589
1271,18383
1272,17956
1273,17294
1274,16426
1275,15351
1276,14099
1277,12675
1278,11119
1279,9440
1280,7679
1281,5859
1282,4008
1283,2165
1284,348
1285,-1399
1286,-3059
1287,-4595
1288,-5992
1289,-7215
1290,-8256
1291,-9093
1292,-9710
1293,-10110
1294,-10270
1295,-10210
1296,-9914
1297,-9405
1298,-8681
1299,-7770
1300,-6679
1301,-5438
1302,-4065
1303,-2590
1304,-1043
1305,556
1306,2160
1307,3759
1308,5300
1309,6778
1310,8146
1311,9387
1312,10477
1313,11391
1314,12118
1315,12638
1316,12943
1317,13026
1318,12884
1319,12518
1320,11935
1321,11141
1322,10149
1323,8980
1324,7638
1325,6171
1326,4565
1327,2890
1328,1130
1329,-653
1330,-2458
1331,-4235
1332,-5975
1333,-7638
1334,-9215
1335,-10664
1336,-11990
1337,-13147
1338,-14154
1339,-14968
1340,-15609
1341,-16055
1342,-16309
1343,-16386
1344,-16272
1345,-15996
1346,-15556
